person_delta,kid_delta,animal_delta,legal,legal_alt,label
same,same,same,no,yes,true
same,same,same,yes,no,false
same,same,same,-,-,false
same,same,same,-,-,false
less,less,less,-,-,true
more,more,more,no,no,false
less,same,more,-,-,true
more,same,less,no,no,false
same,same,same,-,-,false
same,same,same,-,-,false
same,same,same,-,-,false
same,same,same,-,-,false
same,same,same,yes,no,false
same,same,same,-,yes,true
same,same,same,-,-,false
same,same,same,no,no,true
more,same,same,no,yes,true
less,same,same,yes,no,false
more,more,less,no,yes,false
less,less,more,yes,no,true
more,same,less,-,-,false
less,same,more,-,-,true
same,less,same,-,yes,true
same,more,same,yes,no,false
same,same,same,yes,no,false
same,same,same,no,yes,true
same,less,same,yes,no,true
same,more,same,no,yes,false
same,same,same,-,-,false
same,same,same,-,-,false
same,same,same,-,-,false
same,same,same,-,-,false
same,more,same,-,-,false
same,less,same,-,-,true
same,same,same,-,-,false
same,same,same,-,-,false
more,same,less,-,-,false
less,same,more,-,-,true
same,same,same,-,yes,true
same,same,same,yes,no,false
same,same,same,-,-,false
same,same,same,-,-,false
less,same,same,-,-,true
more,same,same,-,-,false
same,less,same,yes,no,true
same,more,same,no,yes,false
same,same,same,-,-,false
same,same,same,no,no,true
more,same,less,-,-,false
less,same,more,-,-,true
same,same,same,-,-,false
same,same,same,-,-,false
same,same,same,-,yes,true
same,same,same,yes,no,false
less,less,more,yes,no,true
more,more,less,no,yes,false
more,more,less,no,yes,false
less,less,more,yes,no,true
same,same,same,-,-,false
same,same,same,-,-,false
less,same,same,-,-,true
more,same,same,no,no,true
same,same,same,-,-,false
same,same,same,no,no,true
less,less,more,no,no,true
more,more,less,-,-,false
same,same,same,-,-,false
same,same,same,-,-,false
same,same,same,-,-,false
same,same,same,no,no,true
less,same,same,-,-,true
more,same,same,-,-,false
more,same,same,-,-,false
less,same,same,-,-,true
same,same,same,-,-,false
same,same,same,-,-,false
same,same,same,-,-,false
same,same,same,-,-,false
same,same,same,-,-,false
same,same,same,-,-,false
more,more,less,-,-,false
less,less,more,no,no,true
same,same,same,no,yes,true
same,same,same,yes,no,false
less,less,less,-,-,true
more,more,more,-,-,false
same,same,same,-,-,false
same,same,same,no,no,true
more,more,same,-,-,false
less,less,same,no,no,true
less,same,more,yes,no,true
more,same,less,no,yes,false
same,more,same,-,-,false
same,less,same,-,-,true
more,less,less,no,no,false
less,more,more,-,-,true
same,same,more,-,yes,true
same,same,less,yes,no,true
same,less,same,no,yes,true
same,more,same,yes,no,false
same,same,same,-,-,false
same,same,same,-,-,false
less,same,more,-,-,true
more,same,less,-,-,false
same,more,same,-,-,false
same,less,same,-,-,true
same,same,same,no,yes,true
same,same,same,yes,no,false
less,same,same,-,-,true
more,same,same,-,-,false
more,same,less,-,-,false
less,same,more,-,-,true
